Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Chester Rd T13 (33 kV / 6.6 kV),"381040.0","396175.0",Primary,33 kV / 6.6,Stretford,South Manchester
Chorley South (33 kV / 11 kV),"358658.0","417041.0",Primary,33 kV / 11,Wrightington,Penwortham 
Chorlton (33 kV / 6.6 kV),"381411.0","393754.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Church (33 kV / 6.6 kV),"374687.0","428919.0",Primary,33 kV / 6.6,Huncoat,Padiham
Clarendon Rd (33 kV / 6.6 kV),"369051.0","429883.0",Primary,33 kV / 6.6,Blackburn,Penwortham 
Claughton (33 kV / 11 kV),"355872.0","466268.0",Primary,33 kV / 11,Lancaster,Heysham
Blackburn Rd Clayton (33 kV / 6.6 kV),"374632.0","430529.0",Primary,33 kV / 6.6,Huncoat,Padiham
Cleveleys (33 kV / 6.6 kV),"332286.0","443104.0",Primary,33 kV / 6.6,Bispham,Penwortham 
Clifton Junction (33 kV / 11 kV),"379289.0","403073.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Clover Hill (33 kV / 6.6 kV),"386638.0","437064.0",Primary,33 kV / 6.6,Nelson,Padiham
Cog Lane (33 kV / 6.6 kV),"382462.0","432232.0",Primary,33 kV / 6.6,Huncoat,Padiham
Coniston (33 kV / 11 kV),"329874.0","497641.0",Primary,33 kV / 11,Ulverston,Harker
Copse Rd (33 kV / 6.6 kV),"333013.0","446934.0",Primary,33 kV / 6.6,Thornton,Stanah
Cox Green (33 kV / 11 kV),"371893.0","413641.0",Primary,33 kV / 11,Bolton,Kearsley
Craggs Row & Bushell St (33 kV / 6.6 kV),"353740.0","430080.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Crown Lane (33 kV / 11 kV),"362706.0","410859.0",Primary,33 kV / 11,Westhoughton,Kearsley
Culcheth (33 kV / 11 kV),"365430.0","395366.0",Primary,33 kV / 11,Golborne,Bold
Cutacre (33 kV / 11 kV),"369848.0","404515.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Askam & Dalton (33 kV / 11 kV),"323582.0","474255.0",Primary,33 kV / 11,Ulverston,Harker
Deansgate (33 kV / 6.6 kV),"383463.0","398149.0",Primary,33 kV / 6.6,Bloom St,South Manchester
Denton East (33 kV / 6.6 kV),"392394.0","395626.0",Primary,33 kV / 6.6,Droylsden,Stalybridge
Denton West (33 kV / 6.6 kV),"390380.0","395565.0",Primary,33 kV / 6.6,Droylsden,Stalybridge
Dickinson St (33 kV / 6.6 kV),"384109.0","397722.0",Primary,33 kV / 6.6,Bloom St,South Manchester
Didsbury (33 kV / 6.6 kV),"384792.0","391153.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Dodgson Rd (33 kV / 6.6 kV),"355190.0","430397.0",Primary,33 kV / 6.6,Preston East,Penwortham 
Douglas St (33 kV / 6.6 kV),"352220.0","429932.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Droylsden East (33 kV / 6.6 kV),"390532.0","398053.0",Primary,33 kV / 6.6,Droylsden,Stalybridge
Dukinfield (33 kV / 6.6 kV),"394372.0","396438.0",Primary,33 kV / 6.6,Hyde,Stalybridge
Dumers Lane (33 kV / 11 kV),"380057.0","408141.0",Primary,33 kV / 11,Bury,Kearsley
Dumplington (33 kV / 11 kV),"376770.0","397157.0",Primary,33 kV / 11,Barton,Carrington
Eastlands (33 kV / 6.6 kV),"386458.0","398693.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Easton (33 kV / 11 kV),"343201.0","571738.0",Primary,33 kV / 11,"-",Harker
Egremont (33 kV / 11 kV),"301070.0","513074.0",Primary,33 kV / 11,Egremont,Harker
Embleton (33 kV / 11 kV),"315767.0","529389.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Exchange St (33 kV / 6.6 kV),"369100.0","423028.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Failsworth (33 kV / 6.6 kV),"389631.0","401496.0",Primary,33 kV / 6.6,Chadderton,Whitegate
Fallowfield (33 kV / 6.6 kV),"385608.0","393881.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Farnworth (33 kV / 11 kV),"373726.0","405532.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Feniscowles (33 kV / 6.6 kV),"364660.0","425120.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Ferodo (33 kV / 11 kV),"405720.0","381338.0",Primary,33 kV / 11,New Mills,Stalybridge
Flat Lane (33 kV / 11 kV),"383248.0","456995.0",Primary,33 kV / 11,Nelson,Padiham
Frederick Rd (33 kV / 6.6 kV),"381697.0","399348.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Fusehill (33 kV / 11 kV),"341042.0","555452.0",Primary,33 kV / 11,Carlisle,Harker
Gale (33 kV / 6.6 kV),"389570.0","414943.0",Primary,33 kV / 6.6,Belfield,Rochdale
Garstang (33 kV / 6.6 kV),"348319.0","445221.0",Primary,33 kV / 6.6,Thornton,Stanah
Gatley (33 kV / 6.6 kV),"384242.0","388388.0",Primary,33 kV / 6.6,Moss Nook,South Manchester
Gidlow (33 kV / 6.6 kV),"357620.0","406662.0",Primary,33 kV / 6.6,Wigan,Kirkby
Gillsrow (33 kV / 11 kV),"337117.0","526444.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Glaxo (33 kV / 11 kV),"330458.0","477825.0",Primary,33 kV / 11,Ulverston,Harker
Glossop (33 kV / 11 kV),"402300.0","394074.0",Primary,33 kV / 11,Hyde,Stalybridge
Golborne (33 kV / 11 kV),"360621.0","397766.0",Primary,33 kV / 11,Golborne,Bold
Gowhole (33 kV / 11 kV),"401104.0","383846.0",Primary,33 kV / 11,New Mills,Stalybridge
Grane Rd & Prinny Hill (33 kV / 6.6 kV),"378312.0","422726.0",Primary,33 kV / 6.6,Rossendale,Padiham
Grange (33 kV / 11 kV),"340240.0","478314.0",Primary,33 kV / 11,Ulverston,Harker
Great Harwood (33 kV / 6.6 kV),"373765.0","431955.0",Primary,33 kV / 6.6,Huncoat,Padiham
Green Lane (Altrincham) (33 kV / 11 kV),"378744.0","387772.0",Primary,33 kV / 11,Altrincham,Carrington
Green Lane (Hazel Grove) (33 kV / 11 kV),"391570.0","387132.0",Primary,33 kV / 11,Hazel Grove,Bredbury
Green St T11 (33 kV / 6.6 kV),"358235.0","404898.0",Primary,33 kV / 6.6,Wigan,Kirkby
