GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BUMU_P,13.475,12.891,11.740,11.036,10.497,10.210,9.940,9.695,9.451,9.245,9.077,8.924,8.857,8.792,8.713,8.651,8.585,8.509,8.418,8.310,8.233,8.116,8.005,7.922,7.867,7.808,7.852,7.800,7.760,7.792,7.807,7.769
BURM_1,151.098,144.555,131.651,123.748,117.711,114.485,111.460,108.713,105.974,103.671,101.782,100.071,99.316,98.586,97.706,97.005,96.273,95.411,94.392,93.185,92.315,91.010,89.767,88.838,88.220,87.557,88.048,87.461,87.020,87.370,87.542,87.120
BUSH_1,68.836,65.855,59.976,56.376,53.626,52.156,50.778,49.527,48.279,47.230,46.369,45.589,45.245,44.913,44.512,44.193,43.859,43.467,43.002,42.453,42.056,41.462,40.895,40.472,40.191,39.889,40.112,39.845,39.644,39.803,39.882,39.689
BUST_1,157.540,150.718,137.263,129.024,122.729,119.366,116.212,113.348,110.492,108.091,106.121,104.337,103.550,102.789,101.872,101.140,100.378,99.479,98.416,97.158,96.251,94.890,93.594,92.626,91.982,91.290,91.801,91.190,90.730,91.095,91.274,90.834
CAAD_P,5.980,5.721,5.210,4.898,4.659,4.531,4.411,4.303,4.194,4.103,4.028,3.961,3.931,3.902,3.867,3.839,3.810,3.776,3.736,3.688,3.654,3.602,3.553,3.516,3.492,3.465,3.485,3.461,3.444,3.458,3.465,3.448
CAFA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CAMB_01,13.213,12.641,11.513,10.822,10.294,10.012,9.747,9.507,9.267,9.066,8.901,8.751,8.685,8.621,8.544,8.483,8.419,8.344,8.254,8.149,8.073,7.959,7.850,7.769,7.715,7.657,7.700,7.648,7.610,7.640,7.655,7.619
CANTN1,82.478,78.906,71.863,67.549,64.253,62.492,60.842,59.342,57.847,56.590,55.558,54.624,54.212,53.814,53.334,52.951,52.552,52.081,51.524,50.866,50.391,49.679,49.000,48.493,48.156,47.794,48.062,47.741,47.500,47.692,47.786,47.555
CAPEA1,122.181,116.890,106.455,100.065,95.183,92.575,90.129,87.907,85.692,83.831,82.302,80.919,80.308,79.718,79.007,78.440,77.848,77.151,76.327,75.351,74.648,73.592,72.587,71.836,71.337,70.801,71.197,70.723,70.366,70.649,70.788,70.447
CARE_1,44.629,42.696,38.885,36.550,34.767,33.814,32.921,32.110,31.301,30.621,30.062,29.557,29.334,29.118,28.859,28.652,28.435,28.181,27.880,27.523,27.266,26.881,26.514,26.239,26.057,25.861,26.006,25.833,25.702,25.806,25.857,25.732
CARR_1,125.672,120.230,109.497,102.924,97.903,95.220,92.704,90.419,88.141,86.226,84.654,83.231,82.603,81.996,81.264,80.681,80.073,79.356,78.508,77.504,76.781,75.695,74.661,73.889,73.375,72.824,73.231,72.743,72.376,72.668,72.811,72.459
CASS_P,0.260,0.248,0.226,0.213,0.202,0.197,0.191,0.187,0.182,0.178,0.175,0.172,0.171,0.169,0.168,0.167,0.165,0.164,0.162,0.160,0.159,0.156,0.154,0.153,0.152,0.150,0.151,0.150,0.149,0.150,0.150,0.150
CATY,6.532,6.249,5.691,5.350,5.089,4.949,4.819,4.700,4.581,4.482,4.400,4.326,4.294,4.262,4.224,4.194,4.162,4.125,4.081,4.029,3.991,3.934,3.881,3.841,3.814,3.785,3.806,3.781,3.762,3.777,3.785,3.766
CBNK_H,9.782,9.358,8.523,8.011,7.620,7.412,7.216,7.038,6.861,6.712,6.589,6.479,6.430,6.382,6.325,6.280,6.233,6.177,6.111,6.033,5.976,5.892,5.811,5.751,5.711,5.668,5.700,5.662,5.634,5.656,5.667,5.640
CEAN_P,0.513,0.491,0.447,0.420,0.400,0.389,0.379,0.369,0.360,0.352,0.346,0.340,0.337,0.335,0.332,0.329,0.327,0.324,0.321,0.316,0.314,0.309,0.305,0.302,0.300,0.297,0.299,0.297,0.296,0.297,0.297,0.296
CELL_1,292.951,280.265,255.246,239.924,228.219,221.965,216.101,210.774,205.463,201.000,197.335,194.018,192.554,191.140,189.434,188.074,186.656,184.985,183.008,180.668,178.982,176.452,174.042,172.241,171.043,169.758,170.708,169.571,168.715,169.395,169.728,168.909
CHAP,12.731,12.179,11.092,10.426,5.752,5.595,5.447,5.313,5.179,5.066,4.974,4.890,4.853,4.817,4.775,4.740,4.704,4.663,4.613,4.554,4.511,4.447,4.387,4.341,4.311,4.279,4.302,4.274,4.253,4.269,4.278,4.257
CHAR_P,10.051,9.616,8.757,8.232,7.830,7.615,7.414,7.231,7.049,6.896,6.770,6.657,6.606,6.558,6.499,6.453,6.404,6.347,6.279,6.199,6.141,6.054,5.971,5.909,5.868,5.824,5.857,5.818,5.788,5.812,5.823,5.795
CHAS,6.513,6.231,5.675,5.334,5.074,4.935,4.804,4.686,4.568,4.469,4.387,4.314,4.281,4.250,4.212,4.181,4.150,4.113,4.069,4.017,3.979,3.923,3.869,3.829,3.803,3.774,3.795,3.770,3.751,3.766,3.773,3.755
CHIC_1,33.232,31.793,28.955,27.217,25.889,25.179,24.514,23.910,23.307,22.801,22.385,22.009,21.843,21.683,21.489,21.335,21.174,20.984,20.760,20.495,20.303,20.016,19.743,19.539,19.403,19.257,19.365,19.236,19.139,19.216,19.254,19.161
CHSI_1,112.008,107.157,97.591,91.733,87.258,84.866,82.625,80.588,78.557,76.851,75.450,74.181,73.622,73.081,72.429,71.909,71.366,70.727,69.971,69.077,68.432,67.465,66.543,65.855,65.397,64.905,65.269,64.834,64.507,64.767,64.894,64.581
CHTE_1,201.684,192.950,175.725,165.177,157.118,152.813,148.776,145.108,141.452,138.379,135.857,133.573,132.565,131.591,130.417,129.481,128.504,127.354,125.993,124.382,123.221,121.479,119.820,118.580,117.755,116.870,117.525,116.742,116.153,116.621,116.850,116.286
CITR_1,113.288,108.383,98.707,92.782,88.255,85.837,83.569,81.509,79.456,77.729,76.312,75.030,74.463,73.916,73.257,72.731,72.182,71.536,70.772,69.867,69.215,68.236,67.304,66.608,66.145,65.648,66.015,65.575,65.245,65.507,65.636,65.319
CLAC_P,1.112,1.064,0.969,0.910,0.866,0.842,0.820,0.800,0.780,0.763,0.749,0.736,0.731,0.725,0.719,0.714,0.708,0.702,0.694,0.686,0.679,0.670,0.660,0.654,0.649,0.644,0.648,0.643,0.640,0.643,0.644,0.641
CLAY_P,3.645,3.487,3.176,2.985,2.840,2.762,2.689,2.623,2.556,2.501,2.455,2.414,2.396,2.378,2.357,2.340,2.322,2.302,2.277,2.248,2.227,2.195,2.165,2.143,2.128,2.112,2.124,2.110,2.099,2.108,2.112,2.102
CLT03,12.596,12.050,10.974,10.316,9.812,9.544,9.291,9.062,8.834,8.642,8.485,8.342,8.279,8.218,8.145,8.086,8.025,7.954,7.869,7.768,7.695,7.587,7.483,7.406,7.354,7.299,7.340,7.291,7.254,7.283,7.298,7.262
CLYM,21.656,20.718,18.869,17.736,16.871,16.408,15.975,15.581,15.189,14.859,14.588,14.343,14.234,14.130,14.004,13.903,13.798,13.675,13.529,13.356,13.231,13.044,12.866,12.733,12.644,12.549,12.619,12.535,12.472,12.522,12.547,12.486
COAT,18.285,17.493,15.932,14.975,14.245,13.854,13.488,13.156,12.824,12.546,12.317,12.110,12.019,11.930,11.824,11.739,11.651,11.546,11.423,11.277,11.172,11.014,10.863,10.751,10.676,10.596,10.655,10.584,10.531,10.573,10.594,10.543
COCK,15.094,14.441,13.152,12.362,11.759,11.437,11.135,10.860,10.587,10.357,10.168,9.997,9.921,9.849,9.761,9.691,9.618,9.531,9.430,9.309,9.222,9.092,8.968,8.875,8.813,8.747,8.796,8.737,8.693,8.728,8.745,8.703
CONQA1,104.378,99.858,90.944,85.485,81.314,79.086,76.997,75.099,73.206,71.616,70.310,69.129,68.607,68.103,67.495,67.011,66.505,65.910,65.205,64.372,63.771,62.870,62.011,61.369,60.942,60.484,60.823,60.418,60.113,60.355,60.474,60.182
COUA_P,7.972,7.627,6.946,6.529,6.211,6.040,5.881,5.736,5.591,5.470,5.370,5.280,5.240,5.202,5.155,5.118,5.080,5.034,4.980,4.917,4.871,4.802,4.736,4.687,4.655,4.620,4.646,4.615,4.591,4.610,4.619,4.597
COVE_1,199.419,190.784,173.752,163.323,155.354,151.097,147.105,143.479,139.864,136.825,134.331,132.073,131.077,130.114,128.952,128.027,127.061,125.924,124.578,122.986,121.837,120.115,118.475,117.249,116.433,115.558,116.205,115.431,114.849,115.311,115.538,114.981
COWL_1,191.846,183.539,167.154,157.120,149.455,145.359,141.519,138.030,134.553,131.629,129.230,127.058,126.099,125.173,124.055,123.165,122.236,121.142,119.847,118.315,117.211,115.554,113.976,112.796,112.012,111.170,111.792,111.048,110.487,110.932,111.150,110.614
COYL,12.134,11.609,10.573,9.938,9.453,9.194,8.951,8.730,8.510,8.326,8.174,8.036,7.976,7.917,7.847,7.790,7.731,7.662,7.580,7.483,7.414,7.309,7.209,7.134,7.085,7.032,7.071,7.024,6.988,7.016,7.030,6.996
CRAI_P,10.685,10.222,9.310,8.751,8.324,8.096,7.882,7.688,7.494,7.331,7.198,7.077,7.023,6.972,6.909,6.860,6.808,6.747,6.675,6.590,6.528,6.436,6.348,6.282,6.239,6.192,6.226,6.185,6.154,6.178,6.191,6.161
CREB_1,180.580,172.760,157.337,147.893,140.677,136.822,133.208,129.924,126.651,123.899,121.641,119.596,118.693,117.821,116.770,115.932,115.057,114.027,112.809,111.367,110.327,108.767,107.282,106.172,105.434,104.641,105.227,104.526,103.998,104.417,104.623,104.118
CUMB,11.875,11.361,10.347,9.726,9.251,8.998,8.760,8.544,8.329,8.148,7.999,7.865,7.805,7.748,7.679,7.624,7.566,7.499,7.418,7.324,7.255,7.153,7.055,6.982,6.933,6.881,6.920,6.874,6.839,6.867,6.880,6.847
CUPA,14.626,13.993,12.743,11.978,11.394,11.082,10.789,10.523,10.258,10.035,9.852,9.687,9.613,9.543,9.458,9.390,9.319,9.236,9.137,9.020,8.936,8.810,8.689,8.599,8.540,8.475,8.523,8.466,8.423,8.457,8.474,8.433
CURR,5.001,4.784,4.357,4.096,3.896,3.789,3.689,3.598,3.507,3.431,3.369,3.312,3.287,3.263,3.234,3.211,3.186,3.158,3.124,3.084,3.055,3.012,2.971,2.940,2.920,2.898,2.914,2.895,2.880,2.892,2.897,2.883
DALL_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DALM3,9.381,8.975,8.174,7.683,7.308,7.108,6.920,6.750,6.580,6.437,6.319,6.213,6.166,6.121,6.066,6.023,5.977,5.924,5.861,5.786,5.732,5.651,5.573,5.516,5.477,5.436,5.467,5.430,5.403,5.425,5.435,5.409
DEVM,5.834,5.582,5.083,4.778,4.545,4.421,4.304,4.198,4.092,4.003,3.930,3.864,3.835,3.807,3.773,3.746,3.717,3.684,3.645,3.598,3.564,3.514,3.466,3.430,3.406,3.381,3.400,3.377,3.360,3.374,3.380,3.364
DEVO,20.770,19.871,18.097,17.011,16.181,15.737,15.321,14.944,14.567,14.251,13.991,13.756,13.652,13.552,13.431,13.334,13.234,13.115,12.975,12.809,12.690,12.510,12.339,12.212,12.127,12.036,12.103,12.022,11.962,12.010,12.034,11.976
DEWP,10.640,10.179,9.270,8.714,8.289,8.062,7.849,7.655,7.462,7.300,7.167,7.047,6.994,6.942,6.880,6.831,6.779,6.719,6.647,6.562,6.501,6.409,6.321,6.256,6.212,6.166,6.200,6.159,6.128,6.152,6.164,6.135
DOUN_P,2.371,2.268,2.065,1.941,1.847,1.796,1.749,1.706,1.663,1.626,1.597,1.570,1.558,1.547,1.533,1.522,1.510,1.497,1.481,1.462,1.448,1.428,1.408,1.394,1.384,1.374,1.381,1.372,1.365,1.371,1.373,1.367
DRAK_1,76.496,73.184,66.651,62.650,59.593,57.960,56.429,55.038,53.651,52.486,51.529,50.663,50.280,49.911,49.466,49.111,48.740,48.304,47.788,47.177,46.736,46.076,45.446,44.976,44.663,44.328,44.576,44.279,44.055,44.233,44.320,44.106
DRAX_1,46.852,44.823,40.822,38.372,36.500,35.499,34.562,33.710,32.860,32.146,31.560,31.030,30.796,30.569,30.297,30.079,29.852,29.585,29.269,28.895,28.625,28.220,27.835,27.547,27.355,27.150,27.302,27.120,26.983,27.092,27.145,27.014
DRCR,6.422,6.144,5.595,5.260,5.003,4.866,4.737,4.621,4.504,4.406,4.326,4.253,4.221,4.190,4.153,4.123,4.092,4.055,4.012,3.961,3.924,3.868,3.815,3.776,3.750,3.721,3.742,3.717,3.699,3.713,3.721,3.703
