GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CANTN1,82.478,81.468,81.866,81.803,82.011,82.327,82.139,80.758,79.714,78.964,78.318,78.071,78.566,78.990,79.446,79.880,80.264,80.868,81.456,82.019,82.564,82.890,83.267,83.771,84.256,84.705,85.125,85.479,85.799,86.076,86.319,86.519
CAPEA1,122.181,120.684,121.274,121.180,121.489,121.957,121.678,119.632,118.086,116.974,116.018,115.653,116.385,117.014,117.689,118.332,118.901,119.796,120.666,121.500,122.307,122.791,123.350,124.096,124.815,125.479,126.101,126.627,127.100,127.511,127.871,128.167
CARE_1,44.629,44.082,44.297,44.263,44.376,44.547,44.445,43.698,43.133,42.727,42.378,42.244,42.512,42.741,42.988,43.223,43.431,43.757,44.075,44.380,44.675,44.851,45.056,45.328,45.591,45.833,46.061,46.253,46.426,46.576,46.707,46.815
CARR_1,125.672,124.133,124.739,124.643,124.960,125.442,125.155,123.050,121.461,120.317,119.333,118.957,119.711,120.357,121.052,121.713,122.299,123.219,124.114,124.972,125.802,126.299,126.874,127.642,128.381,129.065,129.704,130.245,130.732,131.155,131.524,131.829
CASS_P,0.260,0.256,0.258,0.257,0.258,0.259,0.258,0.254,0.251,0.248,0.246,0.246,0.247,0.249,0.250,0.251,0.253,0.254,0.256,0.258,0.260,0.261,0.262,0.264,0.265,0.267,0.268,0.269,0.270,0.271,0.272,0.272
CATY,6.531,6.451,6.483,6.478,6.494,6.519,6.504,6.395,6.312,6.253,6.202,6.182,6.221,6.255,6.291,6.326,6.356,6.404,6.450,6.495,6.538,6.564,6.594,6.634,6.672,6.708,6.741,6.769,6.794,6.816,6.835,6.851
CBNK_H,9.782,9.662,9.709,9.702,9.727,9.764,9.742,9.578,9.454,9.365,9.289,9.259,9.318,9.368,9.422,9.474,9.519,9.591,9.661,9.728,9.792,9.831,9.876,9.935,9.993,10.046,10.096,10.138,10.176,10.209,10.238,10.261
CEAN_P,0.513,0.507,0.509,0.509,0.510,0.512,0.511,0.502,0.496,0.491,0.487,0.486,0.489,0.491,0.494,0.497,0.499,0.503,0.507,0.510,0.514,0.516,0.518,0.521,0.524,0.527,0.530,0.532,0.534,0.536,0.537,0.538
CELL_1,292.952,289.363,290.776,290.553,291.292,292.414,291.746,286.840,283.134,280.468,278.175,277.299,279.055,280.563,282.181,283.723,285.088,287.233,289.319,291.320,293.254,294.414,295.754,297.543,299.267,300.860,302.351,303.611,304.747,305.732,306.594,307.305
CHAP,12.731,12.575,12.636,12.626,7.342,7.370,7.353,7.230,7.136,7.069,7.012,6.990,7.034,7.071,7.113,7.151,7.186,7.240,7.292,7.343,7.392,7.421,7.455,7.499,7.543,7.583,7.621,7.653,7.681,7.706,7.728,7.745
CHAR_P,10.051,9.928,9.976,9.969,9.994,10.032,10.010,9.841,9.714,9.623,9.544,9.514,9.574,9.626,9.681,9.734,9.781,9.855,9.926,9.995,10.061,10.101,10.147,10.208,10.268,10.322,10.373,10.417,10.456,10.489,10.519,10.543
CHAS,6.512,6.432,6.464,6.459,6.475,6.500,6.485,6.376,6.294,6.234,6.183,6.164,6.203,6.237,6.273,6.307,6.337,6.385,6.431,6.476,6.519,6.544,6.574,6.614,6.652,6.688,6.721,6.749,6.774,6.796,6.815,6.831
CHIC_1,33.232,32.825,32.985,32.960,33.044,33.171,33.095,32.539,32.118,31.816,31.556,31.456,31.656,31.827,32.010,32.185,32.340,32.583,32.820,33.047,33.266,33.398,33.550,33.753,33.948,34.129,34.298,34.441,34.570,34.682,34.780,34.860
CHSI_1,112.008,110.636,111.176,111.090,111.373,111.802,111.547,109.671,108.254,107.235,106.358,106.023,106.694,107.271,107.890,108.479,109.001,109.821,110.619,111.384,112.123,112.567,113.079,113.763,114.422,115.031,115.601,116.083,116.517,116.894,117.224,117.496
CHTE_1,201.684,199.213,200.186,200.032,200.541,201.314,200.854,197.477,194.925,193.090,191.511,190.908,192.117,193.155,194.269,195.330,196.271,197.747,199.183,200.561,201.893,202.691,203.614,204.845,206.032,207.129,208.155,209.023,209.804,210.483,211.076,211.566
CITR_1,113.289,111.901,112.447,112.361,112.647,113.081,112.822,110.925,109.492,108.461,107.574,107.235,107.915,108.498,109.123,109.720,110.248,111.077,111.884,112.658,113.406,113.854,114.372,115.064,115.731,116.347,116.923,117.411,117.850,118.231,118.564,118.839
CLAC_P,1.112,1.098,1.103,1.103,1.105,1.110,1.107,1.088,1.074,1.064,1.056,1.052,1.059,1.065,1.071,1.077,1.082,1.090,1.098,1.105,1.113,1.117,1.122,1.129,1.136,1.142,1.147,1.152,1.156,1.160,1.163,1.166
CLAY_P,3.644,3.600,3.617,3.615,3.624,3.638,3.629,3.568,3.522,3.489,3.461,3.450,3.472,3.490,3.510,3.530,3.547,3.573,3.599,3.624,3.648,3.663,3.679,3.702,3.723,3.743,3.761,3.777,3.791,3.803,3.814,3.823
CLT03,12.596,12.441,12.502,12.492,12.524,12.573,12.544,12.333,12.174,12.059,11.960,11.923,11.998,12.063,12.133,12.199,12.258,12.350,12.439,12.525,12.609,12.659,12.716,12.793,12.867,12.936,13.000,13.054,13.103,13.145,13.182,13.213
CLYM,21.653,21.388,21.492,21.476,21.530,21.613,21.564,21.201,20.927,20.730,20.561,20.496,20.626,20.737,20.857,20.971,21.072,21.230,21.385,21.532,21.675,21.761,21.860,21.992,22.120,22.238,22.348,22.441,22.525,22.598,22.661,22.714
COAT,18.285,18.061,18.149,18.135,18.182,18.252,18.210,17.904,17.672,17.506,17.363,17.308,17.418,17.512,17.613,17.709,17.794,17.928,18.058,18.183,18.304,18.376,18.460,18.572,18.679,18.779,18.872,18.950,19.021,19.083,19.137,19.181
COCK,15.094,14.909,14.982,14.971,15.009,15.067,15.032,14.780,14.589,14.451,14.333,14.288,14.378,14.456,14.539,14.619,14.689,14.800,14.907,15.010,15.110,15.170,15.239,15.331,15.420,15.502,15.579,15.644,15.702,15.753,15.797,15.834
CONQA1,104.379,103.100,103.603,103.524,103.787,104.187,103.949,102.201,100.880,99.931,99.114,98.801,99.427,99.964,100.541,101.090,101.577,102.341,103.084,103.797,104.486,104.899,105.377,106.014,106.629,107.196,107.727,108.176,108.581,108.932,109.239,109.492
COUA_P,7.972,7.875,7.913,7.907,7.927,7.958,7.939,7.806,7.705,7.633,7.570,7.546,7.594,7.635,7.679,7.721,7.758,7.817,7.873,7.928,7.981,8.012,8.049,8.097,8.144,8.187,8.228,8.262,8.293,8.320,8.344,8.363
COVE_1,199.420,196.977,197.939,197.786,198.290,199.054,198.599,195.259,192.737,190.922,189.361,188.764,189.960,190.986,192.088,193.137,194.067,195.527,196.947,198.309,199.626,200.415,201.328,202.545,203.719,204.803,205.818,206.676,207.449,208.119,208.706,209.190
COWL_1,191.847,189.496,190.422,190.276,190.759,191.495,191.057,187.844,185.417,183.671,182.170,181.596,182.746,183.733,184.793,185.803,186.697,188.102,189.468,190.778,192.045,192.804,193.682,194.853,195.983,197.025,198.002,198.827,199.571,200.216,200.781,201.246
COYL,12.134,11.986,12.044,12.035,12.066,12.112,12.084,11.881,11.728,11.617,11.522,11.486,11.559,11.621,11.688,11.752,11.809,11.897,11.984,12.067,12.147,12.195,12.250,12.324,12.396,12.462,12.524,12.576,12.623,12.664,12.699,12.729
CRAI_P,10.684,10.553,10.604,10.596,10.623,10.664,10.640,10.461,10.326,10.228,10.145,10.113,10.177,10.232,10.291,10.347,10.397,10.475,10.551,10.624,10.695,10.737,10.786,10.851,10.914,10.972,11.026,11.072,11.114,11.150,11.181,11.207
CREB_1,180.580,178.368,179.239,179.101,179.557,180.249,179.837,176.813,174.528,172.885,171.471,170.931,172.014,172.943,173.941,174.891,175.733,177.055,178.341,179.574,180.766,181.481,182.307,183.410,184.473,185.455,186.374,187.150,187.850,188.458,188.989,189.427
CUMB,11.875,11.730,11.787,11.778,11.808,11.853,11.826,11.627,11.477,11.369,11.276,11.241,11.312,11.373,11.438,11.501,11.556,11.643,11.728,11.809,11.887,11.934,11.989,12.061,12.131,12.196,12.256,12.307,12.353,12.393,12.428,12.457
CUPA,14.626,14.447,14.517,14.506,14.543,14.599,14.566,14.321,14.136,14.003,13.888,13.844,13.932,14.007,14.088,14.165,14.233,14.340,14.445,14.544,14.641,14.699,14.766,14.855,14.941,15.021,15.095,15.158,15.215,15.264,15.307,15.343
CURR,5.000,4.939,4.963,4.959,4.972,4.991,4.980,4.896,4.833,4.787,4.748,4.733,4.763,4.789,4.817,4.843,4.866,4.903,4.938,4.972,5.006,5.025,5.048,5.079,5.108,5.135,5.161,5.182,5.202,5.218,5.233,5.245
DALL_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DALM3,9.381,9.266,9.311,9.304,9.328,9.364,9.342,9.185,9.066,8.981,8.908,8.880,8.936,8.984,9.036,9.085,9.129,9.198,9.265,9.329,9.391,9.428,9.471,9.528,9.583,9.634,9.682,9.722,9.759,9.790,9.818,9.840
DEVM,5.834,5.763,5.791,5.786,5.801,5.824,5.810,5.713,5.639,5.586,5.540,5.523,5.557,5.588,5.620,5.650,5.678,5.720,5.762,5.802,5.840,5.863,5.890,5.926,5.960,5.992,6.021,6.047,6.069,6.089,6.106,6.120
DEVO,20.770,20.516,20.616,20.600,20.652,20.732,20.685,20.337,20.074,19.885,19.722,19.660,19.785,19.892,20.006,20.116,20.213,20.365,20.513,20.654,20.792,20.874,20.969,21.096,21.218,21.331,21.436,21.526,21.606,21.676,21.737,21.788
DEWP,10.638,10.508,10.559,10.551,10.578,10.619,10.595,10.416,10.282,10.185,10.102,10.070,10.134,10.188,10.247,10.303,10.353,10.431,10.506,10.579,10.649,10.692,10.740,10.805,10.868,10.926,10.980,11.025,11.067,11.103,11.134,11.160
DOUN_P,2.371,2.341,2.353,2.351,2.357,2.366,2.361,2.321,2.291,2.270,2.251,2.244,2.258,2.270,2.283,2.296,2.307,2.324,2.341,2.357,2.373,2.382,2.393,2.408,2.422,2.435,2.447,2.457,2.466,2.474,2.481,2.487
DRAK_1,76.497,75.559,75.929,75.870,76.063,76.356,76.182,74.901,73.933,73.237,72.638,72.409,72.868,73.262,73.684,74.087,74.443,75.003,75.548,76.070,76.576,76.878,77.228,77.695,78.146,78.562,78.951,79.280,79.577,79.834,80.059,80.245
DRAX_1,46.853,46.279,46.505,46.469,46.587,46.767,46.660,45.875,45.282,44.856,44.489,44.349,44.630,44.871,45.130,45.376,45.595,45.938,46.272,46.591,46.901,47.086,47.301,47.587,47.863,48.117,48.356,48.557,48.739,48.896,49.034,49.148
DRCR,6.422,6.343,6.374,6.369,6.386,6.410,6.396,6.288,6.207,6.148,6.098,6.079,6.117,6.150,6.186,6.220,6.250,6.297,6.342,6.386,6.429,6.454,6.483,6.523,6.560,6.595,6.628,6.656,6.681,6.702,6.721,6.737
DRUM,32.465,32.068,32.224,32.199,32.281,32.406,32.332,31.788,31.377,31.082,30.828,30.731,30.925,31.092,31.272,31.442,31.594,31.831,32.063,32.284,32.499,32.627,32.776,32.974,33.165,33.342,33.507,33.647,33.772,33.882,33.977,34.056
DUBE_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
DUDH_P,9.318,9.204,9.249,9.242,9.266,9.301,9.280,9.124,9.006,8.921,8.848,8.820,8.876,8.924,8.976,9.025,9.068,9.136,9.203,9.266,9.328,9.365,9.407,9.464,9.519,9.570,9.617,9.657,9.693,9.725,9.752,9.775
DUGR_P,1.863,1.840,1.849,1.847,1.852,1.859,1.855,1.824,1.800,1.783,1.769,1.763,1.774,1.784,1.794,1.804,1.813,1.826,1.840,1.852,1.865,1.872,1.880,1.892,1.903,1.913,1.922,1.930,1.938,1.944,1.949,1.954
DUNB,6.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
